dd,mm,zz,pp,departamento,municipio,puesto,mujeres,hombres,total,mesas,comuna,dirección,LATITUD,LONGITUD
01,1.0,12.0,05,ANTIOQUIA,MEDELLIN,SEC.CONCENTRACION EDUC.KENNEDY,4201,3901,8102,3,06COMUNA 6 DOCE DE OCTUBRE,CRA 76 A # 92-131,6.290440821203329,-75.58189468260814
01,1.0,12.0,06,ANTIOQUIA,MEDELLIN,I.E. JORGE ELIECER GAITAN,1855,1271,3126,1,06COMUNA 6 DOCE DE OCTUBRE,CALLE 92 # 83-41,6.289972658948369,-75.5851847365682
01,1.0,12.0,07,ANTIOQUIA,MEDELLIN,SEC. ESC. EL PEDREGAL,2517,2448,4965,2,06COMUNA 6 DOCE DE OCTUBRE,CLL 104E No 74-109,6.303340062713938,-75.57286642361751
01,1.0,12.0,08,ANTIOQUIA,MEDELLIN,I.E.LA ESPERANZA,1775,1334,3109,1,06COMUNA 6 DOCE DE OCTUBRE,CRA 73B No 96-09,6.292935807404739,-75.57728245234185
01,1.0,12.0,09,ANTIOQUIA,MEDELLIN,SENA PEDREGAL,14,11,25,1,06COMUNA 6 DOCE DE OCTUBRE,CL 104 69 120,6.302078011117973,-75.56856156986603
01,1.0,13.0,01,ANTIOQUIA,MEDELLIN,I.E. SAN VICENTE DE PAUL,5324,4396,9720,3,07COMUNA 7 ROBLEDO,KR 71A # 79D-01,6.278977905580167,-75.5788320327111
01,1.0,13.0,02,ANTIOQUIA,MEDELLIN,SEC.ESC. EL DIAMANTE,5530,3969,9499,3,07COMUNA 7 ROBLEDO,CL 79A # 86-09,6.285203450496988,-75.5871971239626
01,1.0,13.0,03,ANTIOQUIA,MEDELLIN,I.E.EL DIAMANTE (SEDE BTO),4468,4204,8672,3,07COMUNA 7 ROBLEDO,CARRERA 87 No. 79-05,6.28602012752246,-75.58813914134102
01,1.0,13.0,04,ANTIOQUIA,MEDELLIN,I.E. VILLA DE LA CANDELARIA,6751,5253,12004,4,07COMUNA 7 ROBLEDO,CALLE 77A # 90D-35,6.284970871007061,-75.5937074592012
01,1.0,13.0,05,ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA SAN JOSE,3066,2135,5201,2,07COMUNA 7 ROBLEDO,CALLE 86 # 92-60,6.291201805056511,-75.59027937830115
01,1.0,13.0,06,ANTIOQUIA,MEDELLIN,TECNOLOGICO DE ANTIOQUIA,5555,4534,10089,3,07COMUNA 7 ROBLEDO,CALLE 78B # 72A-220,6.279943725984233,-75.58319273416838
01,1.0,13.0,07,ANTIOQUIA,MEDELLIN,IE JESUS REY,2938,2373,5311,2,07COMUNA 7 ROBLEDO,CRA 88 No 77A-11,6.283333920062947,-75.5921685363698
01,1.0,13.0,08,ANTIOQUIA,MEDELLIN,IE AURES,2355,2041,4396,2,07COMUNA 7 ROBLEDO,CRA 96A No 77E-15,6.29020770870989,-75.59652641358426
01,1.0,14.0,01,ANTIOQUIA,MEDELLIN,IE MON GERARDO VALENCIA CANO,2862,2139,5001,2,07COMUNA 7 ROBLEDO,CL 65 # 74 B - 273,6.269116600777043,-75.58771621413057
01,1.0,14.0,02,ANTIOQUIA,MEDELLIN,I.E. JORGE ROBLEDO,6450,5416,11866,4,07COMUNA 7 ROBLEDO,CL 65 # 87-74,6.276756119252863,-75.59747494055716
01,1.0,14.0,03,ANTIOQUIA,MEDELLIN,I.E.MARISCAL ROBLEDO,3348,3732,7080,2,07COMUNA 7 ROBLEDO,CALLE 65 # 84-87,6.275322072862327,-75.59589876415049
01,1.0,14.0,04,ANTIOQUIA,MEDELLIN,SEC.ESC. SANTA MARGARITA,4501,3425,7926,3,07COMUNA 7 ROBLEDO,KR 105B # 62-68,6.276630324477516,-75.61587606167865
01,1.0,14.0,05,ANTIOQUIA,MEDELLIN,INSTITUTO FERRINI - SEDE ROBLEDO,7060,6208,13268,4,07COMUNA 7 ROBLEDO,CALLE 76 # 80-431,6.278003784211832,-75.59226951904425
01,1.0,14.0,06,ANTIOQUIA,MEDELLIN,I.E.CAMILO MORA CARRASQUILLA,1871,1819,3690,1,07COMUNA 7 ROBLEDO,CALLE 62D # 94B-74,6.278279244271973,-75.60616622042842
01,1.0,14.0,07,ANTIOQUIA,MEDELLIN,COL MAYOR DE ANTIOQUIA,2777,2426,5203,2,07COMUNA 7 ROBLEDO,CRA 78 No 65-46,6.273238946596045,-75.59201863025999
01,1.0,14.0,08,ANTIOQUIA,MEDELLIN,IE BARRIO OLAYA HERRERA,1340,1009,2349,1,07COMUNA 7 ROBLEDO,CRA 101C No 58-44,6.27415392016368,-75.6098868114957
01,1.0,15.0,01,ANTIOQUIA,MEDELLIN,I.E. JUAN DE DIOS CARVAJAL,5188,4707,9895,3,08COMUNA 8 VILLA HERMOSA,CL 65AA # 36-39,6.255682718789715,-75.55085427675382
01,1.0,15.0,02,ANTIOQUIA,MEDELLIN,I.E. JUAN DE LA CRUZ POSADA,2949,2359,5308,2,08COMUNA 8 VILLA HERMOSA,CL 62 # 39-22,6.253773815947361,-75.55464422008433
01,1.0,15.0,03,ANTIOQUIA,MEDELLIN,I.E.JOSE CELESTINO MUTIS,2388,1923,4311,2,08COMUNA 8 VILLA HERMOSA,CALLE 65 No. 45-15,6.258885719286969,-75.55686159782528
01,1.0,15.0,04,ANTIOQUIA,MEDELLIN,I.T.M. (CAMPUS FRATERNIDAD),1398,1395,2793,1,08COMUNA 8 VILLA HERMOSA,CALLE 54A No. 30-01,6.2453399268974845,-75.55105148674306
